
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013)-Compiled as S-Function for Simulink on 15-May-2017 at 12:01:24.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 Input files for FAST v7.02.

Time	uWind	vWind	wWind	OoPDefl1	OoPDefl2	OoPDefl3	IPDefl1	IPDefl2	IPDefl3	NcIMUTAxs	NcIMUTAys	NcIMUTAzs	RootMOoP1	RootMOoP2	RootMOoP3	RootMIP1	RootMIP2	RootMIP3	RootMFlp1	RootMFlp2	RootMFlp3	RootMEdg1	RootMEdg2	RootMEdg3	TwrBsMxt	TwrBsMyt	TwrBsMzt	LSSTipMya	LSSTipMza	LSSTipVxa	GenPwr	GenTq	GenSpeed	BlPitch1	Azimuth	RotPwr	RotThrust	RotSpeed	HSShftTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(m)	(m)	(m)	(m)	(m/s^2)	(m/s^2)	(m/s^2)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(rpm)	(kW)	(kN·m)	(rpm)	(deg)	(deg)	(kW)	(kN)	(rpm)	(kN·m)
   0.013	 3.288E+01	 0.000E+00	 0.000E+00	 7.382E-03	 6.022E-03	 5.944E-03	 9.860E-04	-3.169E-04	 2.578E-03	 5.481E-01	-6.174E-03	 1.109E-01	 8.252E+02	 7.187E+02	 7.713E+02	 7.128E+01	 7.949E+02	-8.242E+02	 8.253E+02	 7.202E+02	 7.698E+02	 6.976E+01	 7.936E+02	-8.257E+02	 1.633E+01	 5.368E+01	-8.092E+00	 4.143E+00	-6.857E+01	 5.026E+00	 0.000E+00	 0.000E+00	 4.850E+02	 1.060E-01	 3.760E-01	 1.641E+01	 2.339E+02	 5.026E+00	 3.215E-01
   0.025	 3.288E+01	 0.000E+00	 0.000E+00	 2.963E-02	 2.419E-02	 2.385E-02	 3.778E-03	-1.414E-03	 1.014E-02	 5.825E-01	-3.565E-02	 1.167E-01	 9.593E+02	 8.384E+02	 8.721E+02	 8.298E+01	 8.349E+02	-8.450E+02	 9.594E+02	 8.399E+02	 8.706E+02	 8.120E+01	 8.334E+02	-8.466E+02	 3.433E+01	 3.822E+01	-2.243E+01	 2.322E+01	-4.937E+01	 5.049E+00	 0.000E+00	 0.000E+00	 4.852E+02	 1.060E-01	 7.538E-01	 4.633E+01	 2.438E+02	 5.049E+00	 9.032E-01
   0.038	 3.288E+01	 0.000E+00	 0.000E+00	 6.607E-02	 5.400E-02	 5.337E-02	 8.020E-03	-3.620E-03	 2.230E-02	 6.475E-01	-7.310E-02	 1.284E-01	 1.187E+03	 1.045E+03	 1.045E+03	 1.013E+02	 8.986E+02	-8.839E+02	 1.187E+03	 1.046E+03	 1.044E+03	 9.911E+01	 8.966E+02	-8.859E+02	 5.336E+01	 1.450E+01	-3.305E+01	 6.061E+01	-1.780E+01	 5.069E+00	 0.000E+00	 0.000E+00	 4.854E+02	 1.060E-01	 1.133E+00	 8.637E+01	 2.620E+02	 5.069E+00	 1.677E+00
   0.056	 3.288E+01	 0.000E+00	 0.000E+00	 1.447E-01	 1.186E-01	 1.176E-01	 1.591E-02	-9.780E-03	 4.744E-02	 7.678E-01	-1.186E-01	 1.485E-01	 1.640E+03	 1.456E+03	 1.397E+03	 1.324E+02	 1.025E+03	-9.702E+02	 1.641E+03	 1.458E+03	 1.395E+03	 1.294E+02	 1.022E+03	-9.728E+02	 7.113E+01	-4.667E+01	-2.070E+01	 1.324E+02	 4.088E+01	 5.091E+00	 0.000E+00	 0.000E+00	 4.862E+02	 1.060E-01	 1.705E+00	 1.569E+02	 2.965E+02	 5.091E+00	 3.034E+00
   0.069	 3.288E+01	 0.000E+00	 0.000E+00	 2.150E-01	 1.768E-01	 1.753E-01	 2.135E-02	-1.694E-02	 6.835E-02	 8.777E-01	-1.373E-01	 1.664E-01	 2.036E+03	 1.816E+03	 1.705E+03	 1.580E+02	 1.130E+03	-1.054E+03	 2.037E+03	 1.818E+03	 1.703E+03	 1.542E+02	 1.127E+03	-1.057E+03	 6.430E+01	-1.043E+02	 2.039E+01	 1.925E+02	 9.199E+01	 5.098E+00	 0.000E+00	 0.000E+00	 4.870E+02	 1.060E-01	 2.087E+00	 2.047E+02	 3.284E+02	 5.098E+00	 3.953E+00
   0.081	 3.288E+01	 0.000E+00	 0.000E+00	 2.992E-01	 2.469E-01	 2.445E-01	 2.599E-02	-2.714E-02	 9.138E-02	 9.848E-01	-1.348E-01	 1.818E-01	 2.455E+03	 2.198E+03	 2.040E+03	 1.828E+02	 1.245E+03	-1.156E+03	 2.455E+03	 2.200E+03	 2.038E+03	 1.782E+02	 1.241E+03	-1.160E+03	 3.527E+01	-1.821E+02	 8.965E+01	 2.493E+02	 1.407E+02	 5.101E+00	 0.000E+00	 0.000E+00	 4.880E+02	 1.060E-01	 2.469E+00	 2.477E+02	 3.608E+02	 5.101E+00	 4.781E+00
   0.097	 3.288E+01	 0.000E+00	 0.000E+00	 4.267E-01	 3.544E-01	 3.494E-01	 2.921E-02	-4.582E-02	 1.221E-01	 1.134E+00	-1.093E-01	 2.017E-01	 3.035E+03	 2.722E+03	 2.508E+03	 2.147E+02	 1.403E+03	-1.315E+03	 3.035E+03	 2.725E+03	 2.506E+03	 2.091E+02	 1.398E+03	-1.320E+03	-4.501E+01	-2.974E+02	 2.091E+02	 3.291E+02	 2.002E+02	 5.097E+00	 0.000E+00	 0.000E+00	 4.895E+02	 1.060E-01	 2.948E+00	 2.862E+02	 4.068E+02	 5.097E+00	 5.528E+00
   0.113	 3.288E+01	 0.000E+00	 0.000E+00	 5.720E-01	 4.782E-01	 4.688E-01	 2.927E-02	-6.981E-02	 1.529E-01	 1.269E+00	-7.228E-02	 2.161E-01	 3.605E+03	 3.239E+03	 2.979E+03	 2.404E+02	 1.568E+03	-1.497E+03	 3.606E+03	 3.242E+03	 2.976E+03	 2.338E+02	 1.562E+03	-1.502E+03	-1.620E+02	-4.275E+02	 3.314E+02	 4.003E+02	 2.516E+02	 5.089E+00	 0.000E+00	 0.000E+00	 4.911E+02	 1.060E-01	 3.425E+00	 3.079E+02	 4.508E+02	 5.089E+00	 5.956E+00
   0.131	 3.288E+01	 0.000E+00	 0.000E+00	 7.753E-01	 6.534E-01	 6.353E-01	 2.355E-02	-1.075E-01	 1.892E-01	 1.413E+00	-2.197E-02	 2.266E-01	 4.278E+03	 3.839E+03	 3.543E+03	 2.628E+02	 1.776E+03	-1.750E+03	 4.279E+03	 3.843E+03	 3.539E+03	 2.549E+02	 1.769E+03	-1.757E+03	-3.554E+02	-5.892E+02	 4.590E+02	 4.826E+02	 2.949E+02	 5.075E+00	 0.000E+00	 0.000E+00	 4.931E+02	 1.060E-01	 3.997E+00	 3.054E+02	 5.010E+02	 5.075E+00	 5.925E+00
   0.144	 3.288E+01	 0.000E+00	 0.000E+00	 9.291E-01	 7.876E-01	 7.608E-01	 1.538E-02	-1.385E-01	 2.120E-01	 1.492E+00	 5.196E-03	 2.286E-01	 4.702E+03	 4.209E+03	 3.904E+03	 2.709E+02	 1.919E+03	-1.939E+03	 4.702E+03	 4.212E+03	 3.900E+03	 2.622E+02	 1.911E+03	-1.946E+03	-5.084E+02	-6.844E+02	 5.095E+02	 5.344E+02	 3.064E+02	 5.065E+00	 0.000E+00	 0.000E+00	 4.943E+02	 1.060E-01	 4.377E+00	 2.846E+02	 5.312E+02	 5.065E+00	 5.532E+00
   0.156	 3.288E+01	 0.000E+00	 0.000E+00	 1.096E+00	 9.347E-01	 8.971E-01	 3.783E-03	-1.737E-01	 2.334E-01	 1.550E+00	 2.155E-02	 2.253E-01	 5.087E+03	 4.541E+03	 4.238E+03	 2.725E+02	 2.065E+03	-2.139E+03	 5.088E+03	 4.544E+03	 4.234E+03	 2.631E+02	 2.057E+03	-2.147E+03	-6.668E+02	-7.581E+02	 5.253E+02	 5.802E+02	 3.071E+02	 5.055E+00	 0.000E+00	 0.000E+00	 4.955E+02	 1.060E-01	 4.757E+00	 2.511E+02	 5.566E+02	 5.055E+00	 4.891E+00
   0.172	 3.288E+01	 0.000E+00	 0.000E+00	 1.326E+00	 1.138E+00	 1.083E+00	-1.605E-02	-2.240E-01	 2.576E-01	 1.597E+00	 2.462E-02	 2.162E-01	 5.521E+03	 4.901E+03	 4.619E+03	 2.688E+02	 2.253E+03	-2.405E+03	 5.521E+03	 4.905E+03	 4.615E+03	 2.586E+02	 2.244E+03	-2.414E+03	-8.487E+02	-7.853E+02	 4.920E+02	 6.329E+02	 2.878E+02	 5.047E+00	 0.000E+00	 0.000E+00	 4.967E+02	 1.060E-01	 5.230E+00	 1.931E+02	 5.826E+02	 5.047E+00	 3.767E+00
   0.184	 3.288E+01	 0.000E+00	 0.000E+00	 1.520E+00	 1.311E+00	 1.240E+00	-3.469E-02	-2.671E-01	 2.755E-01	 1.616E+00	 2.178E-02	 2.056E-01	 5.828E+03	 5.148E+03	 4.894E+03	 2.638E+02	 2.403E+03	-2.622E+03	 5.828E+03	 5.153E+03	 4.889E+03	 2.530E+02	 2.393E+03	-2.631E+03	-9.652E+02	-7.506E+02	 4.445E+02	 6.719E+02	 2.620E+02	 5.044E+00	 0.000E+00	 0.000E+00	 4.974E+02	 1.060E-01	 5.608E+00	 1.415E+02	 5.982E+02	 5.044E+00	 2.762E+00
   0.200	 3.288E+01	 0.000E+00	 0.000E+00	 1.775E+00	 1.540E+00	 1.447E+00	-6.131E-02	-3.242E-01	 2.959E-01	 1.621E+00	 1.591E-02	 1.907E-01	 6.172E+03	 5.415E+03	 5.206E+03	 2.589E+02	 2.592E+03	-2.896E+03	 6.172E+03	 5.420E+03	 5.201E+03	 2.474E+02	 2.582E+03	-2.906E+03	-1.056E+03	-6.117E+02	 3.710E+02	 7.176E+02	 2.179E+02	 5.044E+00	 0.000E+00	 0.000E+00	 4.980E+02	 1.060E-01	 6.081E+00	 7.392E+01	 6.128E+02	 5.044E+00	 1.443E+00
   0.213	 3.288E+01	 0.000E+00	 0.000E+00	 1.990E+00	 1.734E+00	 1.620E+00	-8.515E-02	-3.721E-01	 3.106E-01	 1.616E+00	 9.600E-03	 1.794E-01	 6.423E+03	 5.602E+03	 5.433E+03	 2.590E+02	 2.744E+03	-3.117E+03	 6.423E+03	 5.607E+03	 5.427E+03	 2.471E+02	 2.734E+03	-3.128E+03	-1.065E+03	-3.973E+02	 3.105E+02	 7.549E+02	 1.792E+02	 5.048E+00	 0.000E+00	 0.000E+00	 4.982E+02	 1.060E-01	 6.460E+00	 2.071E+01	 6.214E+02	 5.048E+00	 4.039E-01
   0.231	 3.288E+01	 0.000E+00	 0.000E+00	 2.325E+00	 2.036E+00	 1.890E+00	-1.235E-01	-4.455E-01	 3.307E-01	 1.594E+00	 1.076E-02	 1.644E-01	 6.766E+03	 5.847E+03	 5.746E+03	 2.686E+02	 2.972E+03	-3.441E+03	 6.766E+03	 5.852E+03	 5.739E+03	 2.560E+02	 2.961E+03	-3.452E+03	-9.648E+02	 1.018E+02	 2.386E+02	 8.102E+02	 1.145E+02	 5.061E+00	 0.000E+00	 0.000E+00	 4.982E+02	 1.060E-01	 7.028E+00	-4.986E+01	 6.292E+02	 5.061E+00	-9.699E-01
   0.244	 3.288E+01	 0.000E+00	 0.000E+00	 2.554E+00	 2.243E+00	 2.075E+00	-1.503E-01	-4.944E-01	 3.430E-01	 1.582E+00	 1.503E-02	 1.594E-01	 6.993E+03	 6.006E+03	 5.947E+03	 2.854E+02	 3.123E+03	-3.650E+03	 6.993E+03	 6.012E+03	 5.940E+03	 2.724E+02	 3.112E+03	-3.661E+03	-8.063E+02	 5.855E+02	 2.106E+02	 8.526E+02	 7.546E+01	 5.073E+00	 0.000E+00	 0.000E+00	 4.979E+02	 1.060E-01	 7.408E+00	-8.552E+01	 6.335E+02	 5.073E+00	-1.660E+00
   0.259	 3.288E+01	 0.000E+00	 0.000E+00	 2.844E+00	 2.507E+00	 2.308E+00	-1.842E-01	-5.540E-01	 3.571E-01	 1.573E+00	 2.386E-02	 1.602E-01	 7.286E+03	 6.215E+03	 6.203E+03	 3.194E+02	 3.311E+03	-3.894E+03	 7.286E+03	 6.221E+03	 6.196E+03	 3.059E+02	 3.299E+03	-3.905E+03	-5.019E+02	 1.381E+03	 1.981E+02	 9.091E+02	 3.254E+01	 5.092E+00	 0.000E+00	 0.000E+00	 4.973E+02	 1.060E-01	 7.885E+00	-1.113E+02	 6.385E+02	 5.092E+00	-2.152E+00
   0.272	 3.288E+01	 0.000E+00	 0.000E+00	 3.077E+00	 2.718E+00	 2.495E+00	-2.112E-01	-6.000E-01	 3.677E-01	 1.578E+00	 2.508E-02	 1.669E-01	 7.543E+03	 6.406E+03	 6.422E+03	 3.548E+02	 3.459E+03	-4.078E+03	 7.543E+03	 6.412E+03	 6.414E+03	 3.409E+02	 3.448E+03	-4.090E+03	-2.083E+02	 2.129E+03	 1.947E+02	 9.596E+02	 7.453E+00	 5.107E+00	 0.000E+00	 0.000E+00	 4.968E+02	 1.060E-01	 8.267E+00	-1.193E+02	 6.447E+02	 5.107E+00	-2.300E+00
   0.284	 3.288E+01	 0.000E+00	 0.000E+00	 3.309E+00	 2.929E+00	 2.682E+00	-2.378E-01	-6.439E-01	 3.778E-01	 1.593E+00	 2.001E-02	 1.789E-01	 7.821E+03	 6.621E+03	 6.657E+03	 3.976E+02	 3.606E+03	-4.249E+03	 7.822E+03	 6.628E+03	 6.649E+03	 3.832E+02	 3.594E+03	-4.261E+03	 1.258E+02	 2.985E+03	 1.943E+02	 1.012E+03	-9.187E+00	 5.124E+00	 0.000E+00	 0.000E+00	 4.963E+02	 1.060E-01	 8.651E+00	-1.142E+02	 6.527E+02	 5.124E+00	-2.195E+00
   0.297	 3.288E+01	 0.000E+00	 0.000E+00	 3.539E+00	 3.138E+00	 2.866E+00	-2.639E-01	-6.853E-01	 3.871E-01	 1.624E+00	 5.242E-03	 1.969E-01	 8.131E+03	 6.873E+03	 6.916E+03	 4.474E+02	 3.750E+03	-4.406E+03	 8.131E+03	 6.879E+03	 6.907E+03	 4.323E+02	 3.737E+03	-4.419E+03	 4.834E+02	 3.941E+03	 1.936E+02	 1.066E+03	-1.419E+01	 5.140E+00	 0.000E+00	 0.000E+00	 4.958E+02	 1.060E-01	 9.036E+00	-9.629E+01	 6.641E+02	 5.140E+00	-1.844E+00
   0.309	 3.288E+01	 0.000E+00	 0.000E+00	 3.767E+00	 3.344E+00	 3.048E+00	-2.893E-01	-7.238E-01	 3.956E-01	 1.669E+00	-1.798E-02	 2.196E-01	 8.470E+03	 7.161E+03	 7.199E+03	 5.031E+02	 3.889E+03	-4.548E+03	 8.471E+03	 7.168E+03	 7.191E+03	 4.875E+02	 3.876E+03	-4.561E+03	 8.446E+02	 4.981E+03	 1.919E+02	 1.119E+03	-7.839E+00	 5.156E+00	 0.000E+00	 0.000E+00	 4.955E+02	 1.060E-01	 9.422E+00	-6.653E+01	 6.787E+02	 5.156E+00	-1.270E+00
   0.325	 3.288E+01	 0.000E+00	 0.000E+00	 4.045E+00	 3.597E+00	 3.270E+00	-3.201E-01	-7.680E-01	 4.048E-01	 1.745E+00	-5.500E-02	 2.534E-01	 8.935E+03	 7.576E+03	 7.591E+03	 5.797E+02	 4.054E+03	-4.705E+03	 8.936E+03	 7.584E+03	 7.582E+03	 5.632E+02	 4.039E+03	-4.719E+03	 1.271E+03	 6.366E+03	 1.924E+02	 1.182E+03	 1.695E+01	 5.173E+00	 0.000E+00	 0.000E+00	 4.953E+02	 1.060E-01	 9.906E+00	-1.615E+01	 7.023E+02	 5.173E+00	-3.074E-01
   0.338	 3.288E+01	 0.000E+00	 0.000E+00	 4.262E+00	 3.795E+00	 3.443E+00	-3.439E-01	-7.996E-01	 4.107E-01	 1.820E+00	-8.794E-02	 2.837E-01	 9.341E+03	 7.956E+03	 7.934E+03	 6.464E+02	 4.174E+03	-4.812E+03	 9.342E+03	 7.964E+03	 7.925E+03	 6.291E+02	 4.160E+03	-4.826E+03	 1.567E+03	 7.532E+03	 2.005E+02	 1.227E+03	 5.352E+01	 5.186E+00	 0.000E+00	 0.000E+00	 4.953E+02	 1.060E-01	 1.029E+01	 3.403E+01	 7.257E+02	 5.186E+00	 6.459E-01
   0.350	 3.288E+01	 0.000E+00	 0.000E+00	 4.474E+00	 3.987E+00	 3.611E+00	-3.671E-01	-8.280E-01	 4.150E-01	 1.905E+00	-1.162E-01	 3.148E-01	 9.769E+03	 8.373E+03	 8.302E+03	 7.168E+02	 4.283E+03	-4.901E+03	 9.771E+03	 8.381E+03	 8.293E+03	 6.988E+02	 4.267E+03	-4.917E+03	 1.801E+03	 8.721E+03	 2.223E+02	 1.263E+03	 1.020E+02	 5.198E+00	 0.000E+00	 0.000E+00	 4.955E+02	 1.060E-01	 1.068E+01	 8.967E+01	 7.527E+02	 5.198E+00	 1.698E+00
   0.363	 3.288E+01	 0.000E+00	 0.000E+00	 4.679E+00	 4.174E+00	 3.775E+00	-3.897E-01	-8.531E-01	 4.176E-01	 1.997E+00	-1.371E-01	 3.452E-01	 1.021E+04	 8.821E+03	 8.687E+03	 7.901E+02	 4.377E+03	-4.976E+03	 1.021E+04	 8.829E+03	 8.677E+03	 7.712E+02	 4.360E+03	-4.992E+03	 1.957E+03	 9.915E+03	 2.630E+02	 1.291E+03	 1.644E+02	 5.208E+00	 0.000E+00	 0.000E+00	 4.960E+02	 1.060E-01	 1.107E+01	 1.484E+02	 7.827E+02	 5.208E+00	 2.806E+00
   0.381	 3.288E+01	 0.000E+00	 0.000E+00	 4.977E+00	 4.446E+00	 4.011E+00	-4.227E-01	-8.853E-01	 4.180E-01	 2.137E+00	-1.484E-01	 3.861E-01	 1.089E+04	 9.535E+03	 9.285E+03	 9.038E+02	 4.485E+03	-5.057E+03	 1.089E+04	 9.544E+03	 9.276E+03	 8.836E+02	 4.468E+03	-5.074E+03	 2.033E+03	 1.168E+04	 3.627E+02	 1.311E+03	 2.797E+02	 5.221E+00	 0.000E+00	 0.000E+00	 4.972E+02	 1.060E-01	 1.166E+01	 2.377E+02	 8.322E+02	 5.221E+00	 4.481E+00
   0.394	 3.288E+01	 0.000E+00	 0.000E+00	 5.167E+00	 4.621E+00	 4.162E+00	-4.442E-01	-9.026E-01	 4.152E-01	 2.227E+00	-1.373E-01	 4.078E-01	 1.134E+04	 1.002E+04	 9.686E+03	 9.803E+02	 4.533E+03	-5.090E+03	 1.134E+04	 1.003E+04	 9.676E+03	 9.593E+02	 4.515E+03	-5.108E+03	 1.951E+03	 1.282E+04	 4.579E+02	 1.315E+03	 3.678E+02	 5.229E+00	 0.000E+00	 0.000E+00	 4.983E+02	 1.060E-01	 1.205E+01	 2.949E+02	 8.668E+02	 5.229E+00	 5.552E+00
   0.406	 3.288E+01	 0.000E+00	 0.000E+00	 5.350E+00	 4.791E+00	 4.308E+00	-4.653E-01	-9.169E-01	 4.100E-01	 2.309E+00	-1.167E-01	 4.234E-01	 1.177E+04	 1.052E+04	 1.008E+04	 1.057E+03	 4.558E+03	-5.105E+03	 1.177E+04	 1.053E+04	 1.007E+04	 1.035E+03	 4.538E+03	-5.124E+03	 1.770E+03	 1.392E+04	 5.690E+02	 1.305E+03	 4.665E+02	 5.237E+00	 0.000E+00	 0.000E+00	 4.997E+02	 1.060E-01	 1.244E+01	 3.482E+02	 9.019E+02	 5.237E+00	 6.546E+00
   0.419	 3.288E+01	 0.000E+00	 0.000E+00	 5.527E+00	 4.956E+00	 4.449E+00	-4.862E-01	-9.283E-01	 4.023E-01	 2.379E+00	-8.503E-02	 4.326E-01	 1.218E+04	 1.099E+04	 1.045E+04	 1.131E+03	 4.564E+03	-5.107E+03	 1.219E+04	 1.100E+04	 1.045E+04	 1.108E+03	 4.543E+03	-5.126E+03	 1.494E+03	 1.499E+04	 6.893E+02	 1.295E+03	 5.651E+02	 5.245E+00	 0.000E+00	 0.000E+00	 5.013E+02	 1.060E-01	 1.284E+01	 3.965E+02	 9.359E+02	 5.245E+00	 7.443E+00
   0.431	 3.288E+01	 0.000E+00	 0.000E+00	 5.698E+00	 5.118E+00	 4.586E+00	-5.068E-01	-9.367E-01	 3.919E-01	 2.435E+00	-5.118E-02	 4.346E-01	 1.257E+04	 1.144E+04	 1.080E+04	 1.202E+03	 4.545E+03	-5.090E+03	 1.257E+04	 1.145E+04	 1.080E+04	 1.179E+03	 4.524E+03	-5.110E+03	 1.136E+03	 1.601E+04	 8.099E+02	 1.277E+03	 6.685E+02	 5.253E+00	 0.000E+00	 0.000E+00	 5.030E+02	 1.060E-01	 1.323E+01	 4.389E+02	 9.683E+02	 5.253E+00	 8.225E+00
   0.447	 3.288E+01	 0.000E+00	 0.000E+00	 5.900E+00	 5.313E+00	 4.749E+00	-5.321E-01	-9.428E-01	 3.746E-01	 2.476E+00	-6.560E-03	 4.258E-01	 1.299E+04	 1.195E+04	 1.119E+04	 1.284E+03	 4.493E+03	-5.048E+03	 1.300E+04	 1.196E+04	 1.118E+04	 1.260E+03	 4.470E+03	-5.069E+03	 5.840E+02	 1.725E+04	 9.489E+02	 1.262E+03	 7.909E+02	 5.265E+00	 0.000E+00	 0.000E+00	 5.055E+02	 1.060E-01	 1.372E+01	 4.814E+02	 1.004E+03	 5.265E+00	 9.002E+00
   0.459	 3.288E+01	 0.000E+00	 0.000E+00	 6.055E+00	 5.466E+00	 4.875E+00	-5.520E-01	-9.450E-01	 3.584E-01	 2.491E+00	 2.360E-02	 4.126E-01	 1.330E+04	 1.231E+04	 1.145E+04	 1.346E+03	 4.429E+03	-4.999E+03	 1.330E+04	 1.232E+04	 1.144E+04	 1.321E+03	 4.406E+03	-5.020E+03	 1.100E+02	 1.824E+04	 1.047E+03	 1.253E+03	 8.858E+02	 5.276E+00	 0.000E+00	 0.000E+00	 5.075E+02	 1.060E-01	 1.412E+01	 5.094E+02	 1.030E+03	 5.276E+00	 9.506E+00
   0.472	 3.288E+01	 0.000E+00	 0.000E+00	 6.203E+00	 5.615E+00	 4.996E+00	-5.715E-01	-9.445E-01	 3.397E-01	 2.487E+00	 4.959E-02	 3.938E-01	 1.356E+04	 1.263E+04	 1.168E+04	 1.402E+03	 4.348E+03	-4.937E+03	 1.356E+04	 1.264E+04	 1.167E+04	 1.377E+03	 4.325E+03	-4.959E+03	-3.795E+02	 1.923E+04	 1.131E+03	 1.252E+03	 9.735E+02	 5.288E+00	 0.000E+00	 0.000E+00	 5.097E+02	 1.060E-01	 1.452E+01	 5.313E+02	 1.051E+03	 5.288E+00	 9.892E+00
   0.484	 3.288E+01	 0.000E+00	 0.000E+00	 6.344E+00	 5.760E+00	 5.112E+00	-5.904E-01	-9.414E-01	 3.186E-01	 2.467E+00	 7.050E-02	 3.708E-01	 1.379E+04	 1.289E+04	 1.186E+04	 1.454E+03	 4.248E+03	-4.861E+03	 1.379E+04	 1.290E+04	 1.185E+04	 1.429E+03	 4.224E+03	-4.882E+03	-8.589E+02	 2.024E+04	 1.204E+03	 1.263E+03	 1.053E+03	 5.302E+00	 0.000E+00	 0.000E+00	 5.119E+02	 1.060E-01	 1.491E+01	 5.476E+02	 1.069E+03	 5.302E+00	 1.017E+01
   0.497	 3.288E+01	 0.000E+00	 0.000E+00	 6.478E+00	 5.901E+00	 5.222E+00	-6.087E-01	-9.357E-01	 2.954E-01	 2.429E+00	 8.656E-02	 3.442E-01	 1.397E+04	 1.311E+04	 1.199E+04	 1.503E+03	 4.131E+03	-4.772E+03	 1.397E+04	 1.311E+04	 1.199E+04	 1.477E+03	 4.107E+03	-4.794E+03	-1.303E+03	 2.131E+04	 1.268E+03	 1.281E+03	 1.125E+03	 5.317E+00	 0.000E+00	 0.000E+00	 5.142E+02	 1.060E-01	 1.531E+01	 5.587E+02	 1.082E+03	 5.317E+00	 1.034E+01
   0.513	 3.288E+01	 0.000E+00	 0.000E+00	 6.634E+00	 6.070E+00	 5.353E+00	-6.306E-01	-9.254E-01	 2.638E-01	 2.366E+00	 1.047E-01	 3.096E-01	 1.416E+04	 1.331E+04	 1.211E+04	 1.558E+03	 3.963E+03	-4.644E+03	 1.416E+04	 1.331E+04	 1.210E+04	 1.532E+03	 3.939E+03	-4.666E+03	-1.777E+03	 2.274E+04	 1.345E+03	 1.328E+03	 1.199E+03	 5.338E+00	 0.000E+00	 0.000E+00	 5.171E+02	 1.060E-01	 1.581E+01	 5.668E+02	 1.094E+03	 5.338E+00	 1.045E+01
   0.531	 3.288E+01	 0.000E+00	 0.000E+00	 6.804E+00	 6.262E+00	 5.496E+00	-6.551E-01	-9.081E-01	 2.223E-01	 2.268E+00	 1.239E-01	 2.680E-01	 1.433E+04	 1.345E+04	 1.218E+04	 1.619E+03	 3.731E+03	-4.467E+03	 1.433E+04	 1.346E+04	 1.217E+04	 1.592E+03	 3.706E+03	-4.489E+03	-2.178E+03	 2.464E+04	 1.440E+03	 1.405E+03	 1.266E+03	 5.365E+00	 0.000E+00	 0.000E+00	 5.207E+02	 1.060E-01	 1.641E+01	 5.685E+02	 1.101E+03	 5.365E+00	 1.043E+01
   0.547	 3.288E+01	 0.000E+00	 0.000E+00	 6.929E+00	 6.407E+00	 5.601E+00	-6.736E-01	-8.892E-01	 1.849E-01	 2.173E+00	 1.304E-01	 2.364E-01	 1.441E+04	 1.351E+04	 1.218E+04	 1.665E+03	 3.511E+03	-4.299E+03	 1.441E+04	 1.351E+04	 1.217E+04	 1.638E+03	 3.486E+03	-4.321E+03	-2.297E+03	 2.646E+04	 1.525E+03	 1.479E+03	 1.315E+03	 5.389E+00	 0.000E+00	 0.000E+00	 5.236E+02	 1.060E-01	 1.692E+01	 5.635E+02	 1.102E+03	 5.389E+00	 1.029E+01
   0.559	 3.288E+01	 0.000E+00	 0.000E+00	 7.019E+00	 6.516E+00	 5.678E+00	-6.872E-01	-8.721E-01	 1.541E-01	 2.099E+00	 1.374E-01	 2.159E-01	 1.447E+04	 1.352E+04	 1.217E+04	 1.698E+03	 3.328E+03	-4.158E+03	 1.447E+04	 1.353E+04	 1.216E+04	 1.671E+03	 3.303E+03	-4.181E+03	-2.280E+03	 2.805E+04	 1.595E+03	 1.548E+03	 1.339E+03	 5.408E+00	 0.000E+00	 0.000E+00	 5.258E+02	 1.060E-01	 1.732E+01	 5.572E+02	 1.102E+03	 5.408E+00	 1.014E+01
   0.575	 3.288E+01	 0.000E+00	 0.000E+00	 7.120E+00	 6.640E+00	 5.763E+00	-7.026E-01	-8.482E-01	 1.147E-01	 2.009E+00	 1.380E-01	 1.960E-01	 1.453E+04	 1.353E+04	 1.215E+04	 1.737E+03	 3.090E+03	-3.974E+03	 1.453E+04	 1.353E+04	 1.214E+04	 1.711E+03	 3.065E+03	-3.996E+03	-2.110E+03	 3.022E+04	 1.682E+03	 1.635E+03	 1.362E+03	 5.433E+00	 0.000E+00	 0.000E+00	 5.286E+02	 1.060E-01	 1.783E+01	 5.464E+02	 1.100E+03	 5.433E+00	 9.901E+00
   0.594	 3.288E+01	 0.000E+00	 0.000E+00	 7.221E+00	 6.769E+00	 5.847E+00	-7.184E-01	-8.157E-01	 6.663E-02	 1.905E+00	 1.109E-01	 1.806E-01	 1.458E+04	 1.353E+04	 1.209E+04	 1.776E+03	 2.790E+03	-3.737E+03	 1.458E+04	 1.353E+04	 1.209E+04	 1.749E+03	 2.765E+03	-3.759E+03	-1.687E+03	 3.312E+04	 1.777E+03	 1.728E+03	 1.405E+03	 5.463E+00	 0.000E+00	 0.000E+00	 5.319E+02	 1.060E-01	 1.844E+01	 5.296E+02	 1.097E+03	 5.463E+00	 9.543E+00
